State,County,metro,Min. Wage,ftmw1,ftmw2,avtw1,avtw2,"aftw2
",fmr0,fmr1,fmr2,fmr3,fmr4,fmr0F1,fmr0F2,fmr0A1,fmr0A2,aftw2,fmr1F1,fmr1F2,fmr1A1,fmr1A2,aftw2,fmr2F1,fmr2F2,fmr2A1,fmr2A2,aftw2,fmr3F1,fmr3F2,fmr3A1,fmr3A2,aftw2,fmr4F1,fmr4F2,fmr4A1,fmr4A2,aftw2
IA,Johnson County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",526,630,802,1182,1420,41.86%,20.93%,48.53%,24.26%,22.47%,36.53%,18.26%,42.35%,21.17%,26.92%,63.82%,31.91%,73.99%,37.00%,34.27%,94.06%,47.03%,109.05%,54.53%,50.50%,113.00%,56.50%,131.01%,65.51%,60.67%
IA,Jones County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",369,459,621,856,971,29.36%,14.68%,34.04%,17.02%,15.77%,35.81%,17.90%,41.52%,20.76%,19.61%,49.42%,24.71%,57.29%,28.65%,26.53%,68.12%,34.06%,78.98%,39.49%,36.57%,77.27%,38.63%,89.59%,44.79%,41.49%
IA,Keokuk County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",402,450,593,825,828,31.99%,15.99%,37.09%,18.54%,17.18%,34.85%,17.43%,40.41%,20.21%,19.23%,47.19%,23.59%,54.71%,27.36%,25.34%,65.65%,32.82%,76.12%,38.06%,35.25%,65.89%,32.94%,76.39%,38.20%,35.38%
IA,Kossuth County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",402,438,593,788,830,31.99%,15.99%,37.09%,18.54%,17.18%,35.41%,17.71%,41.06%,20.53%,18.71%,47.19%,23.59%,54.71%,27.36%,25.34%,62.71%,31.35%,72.70%,36.35%,33.67%,66.05%,33.02%,76.58%,38.29%,35.46%
IA,Lee County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",408,445,602,826,829,32.47%,16.23%,37.64%,18.82%,17.43%,43.85%,21.92%,50.84%,25.42%,19.01%,47.90%,23.95%,55.54%,27.77%,25.72%,65.73%,32.86%,76.21%,38.10%,35.29%,65.97%,32.98%,76.48%,38.24%,35.42%
IA,Linn County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",443,551,745,1009,1123,35.25%,17.63%,40.87%,20.44%,18.93%,38.28%,19.14%,44.38%,22.19%,23.54%,59.28%,29.64%,68.73%,34.37%,31.83%,80.29%,40.15%,93.09%,46.55%,43.11%,89.36%,44.68%,103.61%,51.80%,47.98%
IA,Louisa County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",436,481,643,801,993,34.69%,17.35%,40.23%,20.11%,18.63%,34.85%,17.43%,40.41%,20.21%,20.55%,51.17%,25.58%,59.32%,29.66%,27.47%,63.74%,31.87%,73.90%,36.95%,34.22%,79.02%,39.51%,91.62%,45.81%,42.43%
IA,Lucas County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",402,438,593,779,997,31.99%,15.99%,37.09%,18.54%,17.18%,39.31%,19.66%,45.58%,22.79%,18.71%,47.19%,23.59%,54.71%,27.36%,25.34%,61.99%,30.99%,71.87%,35.94%,33.28%,79.34%,39.67%,91.98%,45.99%,42.60%
IA,Lyon County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",402,494,593,739,1015,31.99%,15.99%,37.09%,18.54%,17.18%,50.45%,25.23%,58.49%,29.25%,21.11%,47.19%,23.59%,54.71%,27.36%,25.34%,58.81%,29.40%,68.18%,34.09%,31.57%,80.77%,40.38%,93.65%,46.82%,43.37%
IA,Madison County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",528,634,787,1095,1167,42.02%,21.01%,48.71%,24.36%,22.56%,37.16%,18.58%,43.09%,21.54%,27.09%,62.63%,31.31%,72.61%,36.30%,33.62%,87.14%,43.57%,101.03%,50.51%,46.78%,92.86%,46.43%,107.67%,53.83%,49.86%
IA,Mahaska County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",464,467,602,770,926,36.92%,18.46%,42.81%,21.40%,19.82%,44.80%,22.40%,51.94%,25.97%,19.95%,47.90%,23.95%,55.54%,27.77%,25.72%,61.27%,30.64%,71.04%,35.52%,32.90%,73.69%,36.84%,85.43%,42.72%,39.56%
IA,Marion County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",553,563,684,852,1211,44.01%,22.00%,51.02%,25.51%,23.63%,41.46%,20.73%,48.07%,24.03%,24.05%,54.43%,27.21%,63.11%,31.55%,29.22%,67.80%,33.90%,78.61%,39.30%,36.40%,96.37%,48.18%,111.73%,55.86%,51.74%
IA,Marshall County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",449,521,641,827,911,35.73%,17.86%,41.43%,20.71%,19.18%,51.09%,25.54%,59.23%,29.62%,22.26%,51.01%,25.50%,59.14%,29.57%,27.39%,65.81%,32.90%,76.30%,38.15%,35.33%,72.49%,36.25%,84.05%,42.03%,38.92%
IA,Mills County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",480,642,807,1082,1202,38.20%,19.10%,44.29%,22.14%,20.51%,39.79%,19.89%,46.13%,23.07%,27.43%,64.22%,32.11%,74.46%,37.23%,34.48%,86.10%,43.05%,99.83%,49.91%,46.23%,95.65%,47.82%,110.90%,55.45%,51.36%
IA,Mitchell County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",402,500,593,874,877,31.99%,15.99%,37.09%,18.54%,17.18%,34.85%,17.43%,40.41%,20.21%,21.36%,47.19%,23.59%,54.71%,27.36%,25.34%,69.55%,34.77%,80.64%,40.32%,37.34%,69.79%,34.89%,80.91%,40.46%,37.47%
IA,Monona County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",402,438,593,792,795,31.99%,15.99%,37.09%,18.54%,17.18%,34.85%,17.43%,40.41%,20.21%,18.71%,47.19%,23.59%,54.71%,27.36%,25.34%,63.02%,31.51%,73.07%,36.54%,33.84%,63.26%,31.63%,73.35%,36.67%,33.97%
IA,Monroe County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",402,438,593,739,819,31.99%,15.99%,37.09%,18.54%,17.18%,34.85%,17.43%,40.41%,20.21%,18.71%,47.19%,23.59%,54.71%,27.36%,25.34%,58.81%,29.40%,68.18%,34.09%,31.57%,65.17%,32.59%,75.56%,37.78%,34.99%
IA,Montgomery County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",435,438,593,863,866,34.62%,17.31%,40.13%,20.07%,18.59%,43.37%,21.68%,50.28%,25.14%,18.71%,47.19%,23.59%,54.71%,27.36%,25.34%,68.67%,34.34%,79.62%,39.81%,36.87%,68.91%,34.46%,79.90%,39.95%,37.00%
IA,Muscatine County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",499,545,737,1011,1092,39.71%,19.85%,46.04%,23.02%,21.32%,38.36%,19.18%,44.47%,22.24%,23.29%,58.65%,29.32%,68.00%,34.00%,31.49%,80.45%,40.23%,93.28%,46.64%,43.20%,86.90%,43.45%,100.75%,50.37%,46.66%
IA,O'Brien County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",440,482,593,859,862,35.01%,17.51%,40.60%,20.30%,18.80%,40.90%,20.45%,47.42%,23.71%,20.59%,47.19%,23.59%,54.71%,27.36%,25.34%,68.36%,34.18%,79.25%,39.63%,36.70%,68.59%,34.30%,79.53%,39.76%,36.83%
IA,Osceola County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",427,514,630,785,842,33.98%,16.99%,39.40%,19.70%,18.24%,36.84%,18.42%,42.72%,21.36%,21.96%,50.13%,25.07%,58.12%,29.06%,26.92%,62.47%,31.23%,72.43%,36.21%,33.54%,67.00%,33.50%,77.68%,38.84%,35.97%
IA,Page County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",402,463,593,807,810,31.99%,15.99%,37.09%,18.54%,17.18%,39.63%,19.81%,45.95%,22.97%,19.78%,47.19%,23.59%,54.71%,27.36%,25.34%,64.22%,32.11%,74.46%,37.23%,34.48%,64.46%,32.23%,74.73%,37.37%,34.61%
IA,Palo Alto County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",402,498,593,874,1050,31.99%,15.99%,37.09%,18.54%,17.18%,40.27%,20.13%,46.68%,23.34%,21.28%,47.19%,23.59%,54.71%,27.36%,25.34%,69.55%,34.77%,80.64%,40.32%,37.34%,83.55%,41.78%,96.87%,48.44%,44.86%
IA,Plymouth County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",432,506,637,882,886,34.38%,17.19%,39.86%,19.93%,18.46%,36.60%,18.30%,42.44%,21.22%,21.62%,50.69%,25.34%,58.77%,29.39%,27.22%,70.19%,35.09%,81.37%,40.69%,37.68%,70.50%,35.25%,81.74%,40.87%,37.85%
IA,Pocahontas County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",402,460,593,739,1050,31.99%,15.99%,37.09%,18.54%,17.18%,50.45%,25.23%,58.49%,29.25%,19.65%,47.19%,23.59%,54.71%,27.36%,25.34%,58.81%,29.40%,68.18%,34.09%,31.57%,83.55%,41.78%,96.87%,48.44%,44.86%
IA,Polk County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",528,634,787,1095,1167,42.02%,21.01%,48.71%,24.36%,22.56%,51.09%,25.54%,59.23%,29.62%,27.09%,62.63%,31.31%,72.61%,36.30%,33.62%,87.14%,43.57%,101.03%,50.51%,46.78%,92.86%,46.43%,107.67%,53.83%,49.86%
IA,Pottawattamie County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",480,642,807,1082,1202,38.20%,19.10%,44.29%,22.14%,20.51%,41.62%,20.81%,48.25%,24.13%,27.43%,64.22%,32.11%,74.46%,37.23%,34.48%,86.10%,43.05%,99.83%,49.91%,46.23%,95.65%,47.82%,110.90%,55.45%,51.36%
IA,Poweshiek County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",442,523,653,858,910,35.17%,17.59%,40.78%,20.39%,18.88%,38.28%,19.14%,44.38%,22.19%,22.35%,51.96%,25.98%,60.25%,30.12%,27.90%,68.28%,34.14%,79.16%,39.58%,36.66%,72.41%,36.21%,83.96%,41.98%,38.88%
IA,Ringgold County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",402,481,593,744,900,31.99%,15.99%,37.09%,18.54%,17.18%,35.33%,17.67%,40.96%,20.48%,20.55%,47.19%,23.59%,54.71%,27.36%,25.34%,59.20%,29.60%,68.64%,34.32%,31.79%,71.62%,35.81%,83.04%,41.52%,38.45%
IA,Sac County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",355,444,593,768,792,28.25%,14.12%,32.75%,16.38%,15.17%,44.08%,22.04%,51.11%,25.56%,18.97%,47.19%,23.59%,54.71%,27.36%,25.34%,61.11%,30.56%,70.86%,35.43%,32.81%,63.02%,31.51%,73.07%,36.54%,33.84%
IA,Scott County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",448,554,710,957,1008,35.65%,17.82%,41.33%,20.67%,19.14%,36.76%,18.38%,42.62%,21.31%,23.67%,56.50%,28.25%,65.51%,32.75%,30.33%,76.15%,38.08%,88.29%,44.15%,40.89%,80.21%,40.11%,93.00%,46.50%,43.07%
IA,Shelby County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",406,462,599,776,900,32.31%,16.15%,37.46%,18.73%,17.35%,37.24%,18.62%,43.18%,21.59%,19.74%,47.67%,23.83%,55.26%,27.63%,25.59%,61.75%,30.88%,71.59%,35.80%,33.15%,71.62%,35.81%,83.04%,41.52%,38.45%
IA,Sioux County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",402,468,593,813,816,31.99%,15.99%,37.09%,18.54%,17.18%,47.03%,23.51%,54.53%,27.26%,20.00%,47.19%,23.59%,54.71%,27.36%,25.34%,64.69%,32.35%,75.01%,37.50%,34.74%,64.93%,32.47%,75.29%,37.64%,34.86%
IA,Story County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",505,591,737,1043,1220,40.19%,20.09%,46.59%,23.30%,21.58%,35.81%,17.90%,41.52%,20.76%,25.25%,58.65%,29.32%,68.00%,34.00%,31.49%,83.00%,41.50%,96.23%,48.11%,44.56%,97.08%,48.54%,112.56%,56.28%,52.12%
IA,Tama County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",413,450,609,763,890,32.86%,16.43%,38.10%,19.05%,17.65%,39.79%,19.89%,46.13%,23.07%,19.23%,48.46%,24.23%,56.19%,28.09%,26.02%,60.72%,30.36%,70.40%,35.20%,32.60%,70.82%,35.41%,82.11%,41.06%,38.03%
IA,Taylor County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",402,500,593,874,877,31.99%,15.99%,37.09%,18.54%,17.18%,35.17%,17.59%,40.78%,20.39%,21.36%,47.19%,23.59%,54.71%,27.36%,25.34%,69.55%,34.77%,80.64%,40.32%,37.34%,69.79%,34.89%,80.91%,40.46%,37.47%
IA,Union County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",402,442,593,795,968,31.99%,15.99%,37.09%,18.54%,17.18%,39.79%,19.89%,46.13%,23.07%,18.88%,47.19%,23.59%,54.71%,27.36%,25.34%,63.26%,31.63%,73.35%,36.67%,33.97%,77.03%,38.51%,89.31%,44.65%,41.36%
IA,Van Buren County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",402,500,593,833,836,31.99%,15.99%,37.09%,18.54%,17.18%,40.74%,20.37%,47.24%,23.62%,21.36%,47.19%,23.59%,54.71%,27.36%,25.34%,66.29%,33.14%,76.85%,38.43%,35.59%,66.53%,33.26%,77.13%,38.57%,35.72%
IA,Wapello County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",434,512,672,858,898,34.54%,17.27%,40.04%,20.02%,18.54%,50.45%,25.23%,58.49%,29.25%,21.88%,53.47%,26.74%,62.00%,31.00%,28.71%,68.28%,34.14%,79.16%,39.58%,36.66%,71.46%,35.73%,82.85%,41.43%,38.37%
IA,Warren County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",528,634,787,1095,1167,42.02%,21.01%,48.71%,24.36%,22.56%,39.07%,19.54%,45.30%,22.65%,27.09%,62.63%,31.31%,72.61%,36.30%,33.62%,87.14%,43.57%,101.03%,50.51%,46.78%,92.86%,46.43%,107.67%,53.83%,49.86%
IA,Washington County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",411,491,619,912,1042,32.71%,16.35%,37.92%,18.96%,17.56%,34.85%,17.43%,40.41%,20.21%,20.98%,49.26%,24.63%,57.11%,28.55%,26.45%,72.57%,36.29%,84.14%,42.07%,38.97%,82.92%,41.46%,96.14%,48.07%,44.52%
IA,Wayne County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",402,438,593,874,877,31.99%,15.99%,37.09%,18.54%,17.18%,38.20%,19.10%,44.29%,22.14%,18.71%,47.19%,23.59%,54.71%,27.36%,25.34%,69.55%,34.77%,80.64%,40.32%,37.34%,69.79%,34.89%,80.91%,40.46%,37.47%
IA,Webster County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",477,480,593,843,879,37.96%,18.98%,44.01%,22.00%,20.38%,37.48%,18.74%,43.46%,21.73%,20.51%,47.19%,23.59%,54.71%,27.36%,25.34%,67.08%,33.54%,77.78%,38.89%,36.02%,69.95%,34.97%,81.10%,40.55%,37.56%
IA,Winnebago County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",402,471,593,874,907,31.99%,15.99%,37.09%,18.54%,17.18%,35.17%,17.59%,40.78%,20.39%,20.12%,47.19%,23.59%,54.71%,27.36%,25.34%,69.55%,34.77%,80.64%,40.32%,37.34%,72.18%,36.09%,83.68%,41.84%,38.75%
IA,Winneshiek County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",439,442,598,782,1059,34.93%,17.47%,40.50%,20.25%,18.76%,43.77%,21.88%,50.74%,25.37%,18.88%,47.59%,23.79%,55.17%,27.59%,25.55%,62.23%,31.11%,72.15%,36.07%,33.41%,84.27%,42.14%,97.70%,48.85%,45.25%
IA,Woodbury County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",421,550,708,929,1045,33.50%,16.75%,38.84%,19.42%,17.99%,39.79%,19.89%,46.13%,23.07%,23.50%,56.34%,28.17%,65.32%,32.66%,30.25%,73.93%,36.96%,85.71%,42.86%,39.69%,83.16%,41.58%,96.41%,48.21%,44.65%
IA,Worth County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",392,500,593,751,792,31.19%,15.60%,36.17%,18.08%,16.75%,37.16%,18.58%,43.09%,21.54%,21.36%,47.19%,23.59%,54.71%,27.36%,25.34%,59.76%,29.88%,69.29%,34.64%,32.09%,63.02%,31.51%,73.07%,36.54%,33.84%
IA,Wright County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",402,467,593,739,792,31.99%,15.99%,37.09%,18.54%,17.18%,42.57%,21.29%,49.36%,24.68%,19.95%,47.19%,23.59%,54.71%,27.36%,25.34%,58.81%,29.40%,68.18%,34.09%,31.57%,63.02%,31.51%,73.07%,36.54%,33.84%
KS,Allen County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",412,535,634,873,876,32.79%,16.39%,38.01%,19.01%,17.60%,37.88%,18.94%,43.92%,21.96%,22.86%,50.45%,25.23%,58.49%,29.25%,27.09%,69.47%,34.73%,80.54%,40.27%,37.30%,69.71%,34.85%,80.82%,40.41%,37.43%
KS,Anderson County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",412,476,634,934,1123,32.79%,16.39%,38.01%,19.01%,17.60%,39.63%,19.81%,45.95%,22.97%,20.34%,50.45%,25.23%,58.49%,29.25%,27.09%,74.32%,37.16%,86.17%,43.09%,39.91%,89.36%,44.68%,103.61%,51.80%,47.98%
KS,Atchison County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",396,498,665,980,983,31.51%,15.76%,36.54%,18.27%,16.92%,37.32%,18.66%,43.27%,21.64%,21.28%,52.92%,26.46%,61.35%,30.68%,28.41%,77.98%,38.99%,90.42%,45.21%,41.87%,78.22%,39.11%,90.69%,45.35%,42.00%
KS,Barber County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",412,469,634,833,922,32.79%,16.39%,38.01%,19.01%,17.60%,42.49%,21.25%,49.27%,24.63%,20.04%,50.45%,25.23%,58.49%,29.25%,27.09%,66.29%,33.14%,76.85%,38.43%,35.59%,73.37%,36.68%,85.07%,42.53%,39.39%
KS,Barton County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",512,534,634,837,1091,40.74%,20.37%,47.24%,23.62%,21.88%,38.51%,19.26%,44.65%,22.33%,22.82%,50.45%,25.23%,58.49%,29.25%,27.09%,66.60%,33.30%,77.22%,38.61%,35.76%,86.82%,43.41%,100.66%,50.33%,46.61%
KS,Bourbon County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",420,484,655,816,1064,33.42%,16.71%,38.75%,19.37%,17.94%,37.32%,18.66%,43.27%,21.64%,20.68%,52.12%,26.06%,60.43%,30.22%,27.98%,64.93%,32.47%,75.29%,37.64%,34.86%,84.67%,42.33%,98.17%,49.08%,45.46%
KS,Brown County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",412,469,634,869,872,32.79%,16.39%,38.01%,19.01%,17.60%,43.29%,21.64%,50.19%,25.10%,20.04%,50.45%,25.23%,58.49%,29.25%,27.09%,69.15%,34.58%,80.18%,40.09%,37.13%,69.39%,34.69%,80.45%,40.23%,37.26%
KS,Butler County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",439,544,723,997,1099,34.93%,17.47%,40.50%,20.25%,18.76%,37.64%,18.82%,43.64%,21.82%,23.24%,57.53%,28.77%,66.71%,33.35%,30.89%,79.34%,39.67%,91.98%,45.99%,42.60%,87.45%,43.73%,101.40%,50.70%,46.95%
KS,Chase County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",412,473,634,900,903,32.79%,16.39%,38.01%,19.01%,17.60%,44.32%,22.16%,51.39%,25.69%,20.21%,50.45%,25.23%,58.49%,29.25%,27.09%,71.62%,35.81%,83.04%,41.52%,38.45%,71.86%,35.93%,83.31%,41.66%,38.58%
KS,Chautauqua County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",429,557,660,925,960,34.14%,17.07%,39.58%,19.79%,18.33%,37.32%,18.66%,43.27%,21.64%,23.80%,52.52%,26.26%,60.89%,30.45%,28.20%,73.61%,36.80%,85.34%,42.67%,39.52%,76.39%,38.20%,88.57%,44.29%,41.02%
KS,Cherokee County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",412,469,634,860,1020,32.79%,16.39%,38.01%,19.01%,17.60%,37.32%,18.66%,43.27%,21.64%,20.04%,50.45%,25.23%,58.49%,29.25%,27.09%,68.44%,34.22%,79.34%,39.67%,36.74%,81.17%,40.58%,94.11%,47.05%,43.58%
KS,Cheyenne County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",412,469,634,790,847,32.79%,16.39%,38.01%,19.01%,17.60%,41.62%,20.81%,48.25%,24.13%,20.04%,50.45%,25.23%,58.49%,29.25%,27.09%,62.86%,31.43%,72.89%,36.44%,33.75%,67.40%,33.70%,78.15%,39.07%,36.19%
KS,Clark County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",412,523,634,825,1123,32.79%,16.39%,38.01%,19.01%,17.60%,43.93%,21.96%,50.93%,25.46%,22.35%,50.45%,25.23%,58.49%,29.25%,27.09%,65.65%,32.82%,76.12%,38.06%,35.25%,89.36%,44.68%,103.61%,51.80%,47.98%
KS,Clay County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",548,552,747,930,998,43.61%,21.80%,50.56%,25.28%,23.41%,38.51%,19.26%,44.65%,22.33%,23.58%,59.44%,29.72%,68.92%,34.46%,31.92%,74.01%,37.00%,85.80%,42.90%,39.73%,79.42%,39.71%,92.08%,46.04%,42.64%
KS,Cloud County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",412,484,634,934,937,32.79%,16.39%,38.01%,19.01%,17.60%,37.32%,18.66%,43.27%,21.64%,20.68%,50.45%,25.23%,58.49%,29.25%,27.09%,74.32%,37.16%,86.17%,43.09%,39.91%,74.56%,37.28%,86.45%,43.22%,40.03%
KS,Coffey County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",412,469,634,857,860,32.79%,16.39%,38.01%,19.01%,17.60%,42.57%,21.29%,49.36%,24.68%,20.04%,50.45%,25.23%,58.49%,29.25%,27.09%,68.20%,34.10%,79.07%,39.53%,36.62%,68.44%,34.22%,79.34%,39.67%,36.74%
KS,Comanche County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",412,535,634,825,922,32.79%,16.39%,38.01%,19.01%,17.60%,38.91%,19.46%,45.12%,22.56%,22.86%,50.45%,25.23%,58.49%,29.25%,27.09%,65.65%,32.82%,76.12%,38.06%,35.25%,73.37%,36.68%,85.07%,42.53%,39.39%
KS,Cowley County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",417,489,641,856,860,33.18%,16.59%,38.47%,19.24%,17.82%,41.62%,20.81%,48.25%,24.13%,20.89%,51.01%,25.50%,59.14%,29.57%,27.39%,68.12%,34.06%,78.98%,39.49%,36.57%,68.44%,34.22%,79.34%,39.67%,36.74%
KS,Crawford County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",439,523,675,995,1181,34.93%,17.47%,40.50%,20.25%,18.76%,37.48%,18.74%,43.46%,21.73%,22.35%,53.71%,26.86%,62.28%,31.14%,28.84%,79.18%,39.59%,91.80%,45.90%,42.51%,93.98%,46.99%,108.96%,54.48%,50.46%
KS,Decatur County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",412,471,634,790,922,32.79%,16.39%,38.01%,19.01%,17.60%,38.51%,19.26%,44.65%,22.33%,20.12%,50.45%,25.23%,58.49%,29.25%,27.09%,62.86%,31.43%,72.89%,36.44%,33.75%,73.37%,36.68%,85.07%,42.53%,39.39%
KS,Dickinson County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",412,484,634,875,1123,32.79%,16.39%,38.01%,19.01%,17.60%,40.34%,20.17%,46.78%,23.39%,20.68%,50.45%,25.23%,58.49%,29.25%,27.09%,69.63%,34.81%,80.73%,40.36%,37.38%,89.36%,44.68%,103.61%,51.80%,47.98%
KS,Doniphan County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",469,507,677,868,1069,37.32%,18.66%,43.27%,21.64%,20.04%,50.05%,25.03%,58.03%,29.02%,21.66%,53.87%,26.94%,62.46%,31.23%,28.92%,69.07%,34.54%,80.08%,40.04%,37.09%,85.07%,42.53%,98.63%,49.31%,45.67%
KS,Douglas County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",498,629,815,1193,1311,39.63%,19.81%,45.95%,22.97%,21.28%,37.32%,18.66%,43.27%,21.64%,26.87%,64.85%,32.43%,75.19%,37.60%,34.82%,94.93%,47.47%,110.07%,55.03%,50.97%,104.32%,52.16%,120.95%,60.48%,56.01%
KS,Edwards County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",412,469,634,790,1061,32.79%,16.39%,38.01%,19.01%,17.60%,42.57%,21.29%,49.36%,24.68%,20.04%,50.45%,25.23%,58.49%,29.25%,27.09%,62.86%,31.43%,72.89%,36.44%,33.75%,84.43%,42.21%,97.89%,48.94%,45.33%
KS,Elk County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",412,535,634,934,937,32.79%,16.39%,38.01%,19.01%,17.60%,37.32%,18.66%,43.27%,21.64%,22.86%,50.45%,25.23%,58.49%,29.25%,27.09%,74.32%,37.16%,86.17%,43.09%,39.91%,74.56%,37.28%,86.45%,43.22%,40.03%
